commission_id,booking_id,agent_id,commission_rate,commission_amount_cents
C00000192,B00000192,A0050,0.02,7788
C00000193,B00000193,A0017,0.1,3940
C00000194,B00000194,A0059,0.02,408
C00000195,B00000195,A0058,0.15,80845
C00000196,B00000196,A0008,0.02,2160
C00000197,B00000197,A0006,0.15,9360
C00000198,B00000198,A0048,0.02,1936
C00000199,B00000199,A0002,0.02,3648
C00000200,B00000200,A0060,0.03,1152
C00000201,B00000201,A0058,0.05,10300
C00000202,B00000202,A0022,0.02,5460
C00000203,B00000203,A0018,0.02,4156
C00000204,B00000204,A0001,0.1,16280
C00000205,B00000205,A0034,0.02,913
C00000206,B00000206,A0034,0.02,10948
C00000207,B00000207,A0044,0.1,9150
C00000208,B00000208,A0060,0.02,5174
C00000209,B00000209,A0015,0.02,760
C00000210,B00000210,A0030,0.15,6390
C00000211,B00000211,A0055,0.02,2010
C00000212,B00000212,A0032,0.15,26880
C00000213,B00000213,A0010,0.05,975
C00000214,B00000214,A0006,0.15,25740
C00000215,B00000215,A0050,0.15,16290
C00000216,B00000216,A0035,0.1,25520
C00000217,B00000217,A0040,0.15,8100
C00000218,B00000218,A0048,0.15,65520
C00000219,B00000219,A0029,0.1,30240
C00000220,B00000220,A0006,0.02,1434
C00000221,B00000221,A0041,0.15,22605
C00000222,B00000222,A0054,0.05,6160
C00000223,B00000223,A0009,0.02,1860
C00000224,B00000224,A0060,0.1,8400
C00000225,B00000225,A0003,0.15,20280
C00000226,B00000226,A0011,0.02,328
C00000227,B00000227,A0031,0.03,3816
C00000228,B00000228,A0008,0.02,7500
C00000229,B00000229,A0013,0.02,4956
C00000230,B00000230,A0026,0.15,15540
C00000231,B00000231,A0048,0.15,21015
C00000232,B00000232,A0022,0.03,3969
C00000233,B00000233,A0019,0.15,93030
C00000234,B00000234,A0041,0.02,7634
C00000235,B00000235,A0032,0.05,5070
C00000236,B00000236,A0002,0.1,1940
C00000237,B00000237,A0004,0.05,36520
C00000238,B00000238,A0018,0.05,6150
C00000239,B00000239,A0007,0.15,26160
C00000240,B00000240,A0008,0.05,5550
C00000241,B00000241,A0015,0.02,4901
C00000242,B00000242,A0003,0.15,78195
C00000243,B00000243,A0038,0.1,9960
C00000244,B00000244,A0016,0.15,12930
C00000245,B00000245,A0060,0.02,4296
C00000246,B00000246,A0015,0.02,1944
C00000247,B00000247,A0008,0.05,20850
C00000248,B00000248,A0044,0.15,22275
C00000249,B00000249,A0007,0.03,2472
C00000250,B00000250,A0038,0.15,15480
C00000251,B00000251,A0032,0.02,314
C00000252,B00000252,A0050,0.02,3830
C00000253,B00000253,A0029,0.15,8640
C00000254,B00000254,A0049,0.15,50040
C00000255,B00000255,A0050,0.15,2055
C00000256,B00000256,A0023,0.15,28710
C00000257,B00000257,A0035,0.03,22440
C00000258,B00000258,A0021,0.15,25560
C00000259,B00000259,A0028,0.05,74550
C00000260,B00000260,A0048,0.05,7950
C00000261,B00000261,A0028,0.15,8760
C00000262,B00000262,A0043,0.05,9515
C00000263,B00000263,A0016,0.05,9225
C00000264,B00000264,A0053,0.02,3380
C00000265,B00000265,A0028,0.05,2325
C00000266,B00000266,A0056,0.15,58500
C00000267,B00000267,A0016,0.05,29970
C00000268,B00000268,A0016,0.1,29510
C00000269,B00000269,A0014,0.15,39450
C00000270,B00000270,A0018,0.1,18000
C00000271,B00000271,A0058,0.02,5376
C00000272,B00000272,A0006,0.1,109760
C00000273,B00000273,A0053,0.15,63945
C00000274,B00000274,A0047,0.1,18840
C00000275,B00000275,A0021,0.05,3255
C00000276,B00000276,A0017,0.02,4984
C00000277,B00000277,A0060,0.15,26565
C00000278,B00000278,A0037,0.15,26460
C00000279,B00000279,A0019,0.03,14490
C00000280,B00000280,A0002,0.15,21900
C00000281,B00000281,A0044,0.02,4128
C00000282,B00000282,A0043,0.1,22750
C00000283,B00000283,A0003,0.05,2955
C00000284,B00000284,A0021,0.15,249480
C00000285,B00000285,A0049,0.02,3520
C00000286,B00000286,A0028,0.15,21600
C00000287,B00000287,A0056,0.15,19845
C00000288,B00000288,A0016,0.1,12840
C00000289,B00000289,A0030,0.1,11760
C00000290,B00000290,A0009,0.1,24640
C00000291,B00000291,A0050,0.15,39270
C00000292,B00000292,A0048,0.15,6030
C00000293,B00000293,A0028,0.15,14400
C00000294,B00000294,A0060,0.15,24585
C00000295,B00000295,A0037,0.15,2475
C00000296,B00000296,A0050,0.02,7872
C00000297,B00000297,A0049,0.05,15600
C00000298,B00000298,A0001,0.15,17010
C00000299,B00000299,A0024,0.02,3300
C00000300,B00000300,A0031,0.05,3480
C00000301,B00000301,A0008,0.02,3912
C00000302,B00000302,A0007,0.15,44730
C00000303,B00000303,A0047,0.02,16212
C00000304,B00000304,A0057,0.1,61400
C00000305,B00000305,A0033,0.05,11385
C00000306,B00000306,A0051,0.1,8800
C00000307,B00000307,A0020,0.02,2470
C00000308,B00000308,A0028,0.03,978
C00000309,B00000309,A0039,0.15,9615
C00000310,B00000310,A0033,0.02,3132
C00000311,B00000311,A0010,0.15,48090
C00000312,B00000312,A0011,0.1,43200
C00000313,B00000313,A0027,0.02,6480
C00000314,B00000314,A0026,0.1,28910
C00000315,B00000315,A0056,0.15,16020
C00000316,B00000316,A0057,0.05,20950
C00000317,B00000317,A0022,0.15,21735
C00000318,B00000318,A0038,0.15,37245
C00000319,B00000319,A0029,0.05,1005
C00000320,B00000320,A0043,0.02,2328
C00000321,B00000321,A0054,0.02,274
C00000322,B00000322,A0032,0.03,23616
C00000323,B00000323,A0046,0.1,23400
C00000324,B00000324,A0003,0.02,2232
C00000325,B00000325,A0057,0.15,62370
C00000326,B00000326,A0051,0.02,7680
C00000327,B00000327,A0006,0.15,20475
C00000328,B00000328,A0046,0.1,45630
C00000329,B00000329,A0013,0.02,474
C00000330,B00000330,A0039,0.15,2955
C00000331,B00000331,A0008,0.02,1750
C00000332,B00000332,A0012,0.15,11325
C00000333,B00000333,A0038,0.02,5148
C00000334,B00000334,A0059,0.15,51000
C00000335,B00000335,A0014,0.15,17595
C00000336,B00000336,A0001,0.03,6420
C00000337,B00000337,A0037,0.1,30940
C00000338,B00000338,A0057,0.02,14440
C00000339,B00000339,A0002,0.02,254
C00000340,B00000340,A0035,0.15,39600
C00000341,B00000341,A0029,0.1,4160
C00000342,B00000342,A0024,0.02,8016
C00000343,B00000343,A0043,0.02,2640
C00000344,B00000344,A0045,0.02,4520
C00000345,B00000345,A0018,0.02,2656
C00000346,B00000346,A0013,0.02,9400
C00000347,B00000347,A0041,0.05,5160
C00000348,B00000348,A0016,0.02,1740
C00000349,B00000349,A0004,0.02,12152
C00000350,B00000350,A0036,0.15,18165
C00000351,B00000351,A0057,0.02,6543
C00000352,B00000352,A0051,0.15,25410
C00000353,B00000353,A0038,0.15,33345
C00000354,B00000354,A0034,0.05,2970
C00000355,B00000355,A0051,0.15,29535
C00000356,B00000356,A0057,0.15,2685
C00000357,B00000357,A0053,0.02,676
C00000358,B00000358,A0013,0.15,26700
C00000359,B00000359,A0025,0.05,3480
C00000360,B00000360,A0051,0.15,37065
C00000361,B00000361,A0056,0.15,19200
C00000362,B00000362,A0024,0.1,5580
C00000363,B00000363,A0042,0.02,1160
C00000364,B00000364,A0009,0.15,23085
C00000365,B00000365,A0021,0.02,882
C00000366,B00000366,A0024,0.15,16380
C00000367,B00000367,A0055,0.05,4475
C00000368,B00000368,A0049,0.02,2672
C00000369,B00000369,A0021,0.05,9600
C00000370,B00000370,A0032,0.15,10680
C00000371,B00000371,A0060,0.1,17200
C00000372,B00000372,A0022,0.15,12150
C00000373,B00000373,A0059,0.15,12000
C00000374,B00000374,A0009,0.05,14280
C00000375,B00000375,A0020,0.02,8280
C00000376,B00000376,A0057,0.1,16100
C00000377,B00000377,A0058,0.15,59325
C00000378,B00000378,A0019,0.15,60300
C00000379,B00000379,A0049,0.02,5018
C00000380,B00000380,A0055,0.02,432
C00000381,B00000381,A0046,0.05,11690
C00000382,B00000382,A0044,0.05,6510
C00000383,B00000383,A0029,0.03,1293
C00000384,B00000384,A0022,0.05,2320
C00000385,B00000385,A0053,0.15,28215
C00000386,B00000386,A0042,0.05,2640
C00000387,B00000387,A0032,0.02,39780
C00000388,B00000388,A0055,0.15,21150
C00000389,B00000389,A0049,0.02,3480
C00000390,B00000390,A0016,0.15,99000
C00000391,B00000391,A0055,0.1,7800
C00000392,B00000392,A0029,0.02,5572
C00000393,B00000393,A0036,0.02,648
C00000394,B00000394,A0041,0.15,38610
C00000395,B00000395,A0002,0.15,13740
C00000396,B00000396,A0019,0.15,19800
C00000397,B00000397,A0026,0.15,12825
C00000398,B00000398,A0033,0.15,23580
C00000399,B00000399,A0041,0.1,38760
C00000400,B00000400,A0026,0.15,4230
C00000401,B00000401,A0049,0.05,11833
C00000402,B00000402,A0001,0.02,3792
C00000403,B00000403,A0033,0.1,23940
C00000404,B00000404,A0007,0.02,1934
C00000405,B00000405,A0043,0.1,5120
C00000406,B00000406,A0039,0.05,44495
C00000407,B00000407,A0023,0.05,25200
C00000408,B00000408,A0033,0.05,7970
C00000409,B00000409,A0039,0.03,10740
C00000410,B00000410,A0057,0.05,2010
C00000411,B00000411,A0031,0.1,8800
C00000412,B00000412,A0058,0.05,11700
C00000413,B00000413,A0056,0.03,5490
C00000414,B00000414,A0017,0.03,1314
C00000415,B00000415,A0037,0.03,5730
C00000416,B00000416,A0035,0.15,159810
C00000417,B00000417,A0033,0.05,26670
C00000418,B00000418,A0010,0.1,69240
C00000419,B00000419,A0020,0.15,21465
C00000420,B00000420,A0045,0.05,3360
C00000421,B00000421,A0045,0.02,1350
C00000422,B00000422,A0044,0.02,13524
C00000423,B00000423,A0016,0.03,3759
C00000424,B00000424,A0018,0.02,1956
C00000425,B00000425,A0020,0.05,7020
C00000426,B00000426,A0051,0.05,17595
C00000427,B00000427,A0045,0.02,5104
C00000428,B00000428,A0006,0.03,20196
C00000429,B00000429,A0009,0.15,18090
C00000430,B00000430,A0010,0.02,3420
C00000431,B00000431,A0026,0.15,29535
C00000432,B00000432,A0039,0.15,10035
C00000433,B00000433,A0005,0.02,8916
C00000434,B00000434,A0025,0.05,15795
C00000435,B00000435,A0011,0.05,12480
C00000436,B00000436,A0025,0.05,9300
C00000437,B00000437,A0052,0.1,66600
C00000438,B00000438,A0005,0.02,1104
C00000439,B00000439,A0060,0.05,8080
C00000440,B00000440,A0048,0.05,83270
C00000441,B00000441,A0058,0.03,6966
C00000442,B00000442,A0054,0.02,1470
C00000443,B00000443,A0055,0.15,2280
C00000444,B00000444,A0034,0.05,5120
C00000445,B00000445,A0035,0.15,53625
C00000446,B00000446,A0009,0.02,6696
C00000447,B00000447,A0032,0.15,87945
C00000448,B00000448,A0007,0.02,2220
C00000449,B00000449,A0032,0.02,3980
C00000450,B00000450,A0045,0.1,6870
C00000451,B00000451,A0060,0.15,34500
C00000452,B00000452,A0004,0.02,354
C00000453,B00000453,A0004,0.02,1950
C00000454,B00000454,A0044,0.05,10800
C00000455,B00000455,A0057,0.03,4680
C00000456,B00000456,A0060,0.03,6540
C00000457,B00000457,A0046,0.03,3258
C00000458,B00000458,A0045,0.02,4800
C00000459,B00000459,A0025,0.02,3380
C00000460,B00000460,A0017,0.02,3912
C00000461,B00000461,A0056,0.1,22820
C00000462,B00000462,A0021,0.03,1005
C00000463,B00000463,A0021,0.02,9438
C00000464,B00000464,A0032,0.15,118860
C00000465,B00000465,A0053,0.02,1272
C00000466,B00000466,A0009,0.05,1290
C00000467,B00000467,A0018,0.05,1495
C00000468,B00000468,A0058,0.15,13050
C00000469,B00000469,A0007,0.15,7755
C00000470,B00000470,A0032,0.02,4756
C00000471,B00000471,A0028,0.1,9690
C00000472,B00000472,A0043,0.05,26100
C00000473,B00000473,A0047,0.02,3640
C00000474,B00000474,A0031,0.03,5343
C00000475,B00000475,A0025,0.05,6475
C00000476,B00000476,A0024,0.05,1840
C00000477,B00000477,A0060,0.02,6160
C00000478,B00000478,A0043,0.02,3892
C00000479,B00000479,A0031,0.15,13575
C00000480,B00000480,A0039,0.03,477
C00000481,B00000481,A0060,0.1,17820
C00000482,B00000482,A0039,0.05,8400
C00000483,B00000483,A0005,0.02,4872
C00000484,B00000484,A0041,0.15,40740
C00000485,B00000485,A0023,0.15,11280
C00000486,B00000486,A0007,0.05,19000
C00000487,B00000487,A0046,0.02,9504
C00000488,B00000488,A0040,0.02,8760
C00000489,B00000489,A0010,0.02,8112
C00000490,B00000490,A0006,0.03,7839
C00000491,B00000491,A0003,0.02,10990
C00000492,B00000492,A0033,0.02,5280
C00000493,B00000493,A0019,0.05,20160
C00000494,B00000494,A0047,0.15,19110
C00000495,B00000495,A0008,0.1,17550
C00000496,B00000496,A0051,0.05,775
C00000497,B00000497,A0026,0.02,3792
C00000498,B00000498,A0011,0.02,2864
C00000499,B00000499,A0013,0.05,10600
C00000500,B00000500,A0060,0.15,21600
C00000501,B00000501,A0007,0.02,1344
C00000502,B00000502,A0002,0.1,100660
C00000503,B00000503,A0008,0.15,18540
C00000504,B00000504,A0006,0.15,2370
C00000505,B00000505,A0036,0.03,5712
C00000506,B00000506,A0057,0.1,109480
C00000507,B00000507,A0028,0.02,1248
C00000508,B00000508,A0015,0.05,2610
C00000509,B00000509,A0006,0.02,342
C00000510,B00000510,A0012,0.02,1608
C00000511,B00000511,A0041,0.15,40740
C00000512,B00000512,A0059,0.15,44280
C00000513,B00000513,A0052,0.1,7070
C00000514,B00000514,A0039,0.02,8262
C00000515,B00000515,A0008,0.03,1962
C00000516,B00000516,A0030,0.02,8190
C00000517,B00000517,A0020,0.15,19200
C00000518,B00000518,A0023,0.03,1164
C00000519,B00000519,A0012,0.1,3960
C00000520,B00000520,A0046,0.15,68100
C00000521,B00000521,A0046,0.05,31800
C00000522,B00000522,A0003,0.15,5160
C00000523,B00000523,A0009,0.1,46890
C00000524,B00000524,A0026,0.02,1572
C00000525,B00000525,A0007,0.15,34020
C00000526,B00000526,A0053,0.05,35220
C00000527,B00000527,A0018,0.15,6120
C00000528,B00000528,A0034,0.05,8140
C00000529,B00000529,A0043,0.02,788
C00000530,B00000530,A0014,0.1,33180
C00000531,B00000531,A0025,0.02,2640
C00000532,B00000532,A0048,0.1,12400
C00000533,B00000533,A0010,0.15,25920
C00000534,B00000534,A0012,0.1,16000
C00000535,B00000535,A0018,0.1,4640
C00000536,B00000536,A0051,0.02,3470
C00000537,B00000537,A0012,0.02,744
C00000538,B00000538,A0039,0.02,292
C00000539,B00000539,A0049,0.15,26700
C00000540,B00000540,A0053,0.05,22260
C00000541,B00000541,A0055,0.1,8700
C00000542,B00000542,A0059,0.05,17825
C00000543,B00000543,A0057,0.02,8288
C00000544,B00000544,A0051,0.15,2670
C00000545,B00000545,A0052,0.02,454
C00000546,B00000546,A0023,0.1,25870
C00000547,B00000547,A0031,0.03,5247
C00000548,B00000548,A0044,0.15,56265
C00000549,B00000549,A0051,0.03,4050
C00000550,B00000550,A0030,0.1,23920
C00000551,B00000551,A0058,0.1,41470
C00000552,B00000552,A0004,0.15,17010
C00000553,B00000553,A0009,0.1,29260
C00000554,B00000554,A0008,0.02,13300
C00000555,B00000555,A0020,0.02,6412
C00000556,B00000556,A0012,0.02,1074
C00000557,B00000557,A0026,0.02,752
C00000558,B00000558,A0042,0.03,5616
C00000559,B00000559,A0033,0.02,3960
C00000560,B00000560,A0018,0.15,23940
C00000561,B00000561,A0050,0.15,18000
C00000562,B00000562,A0015,0.05,26080
C00000563,B00000563,A0047,0.02,700
C00000564,B00000564,A0007,0.02,8184
C00000565,B00000565,A0028,0.02,4780
C00000566,B00000566,A0035,0.1,50160
C00000567,B00000567,A0055,0.15,20265
C00000568,B00000568,A0039,0.05,6960
C00000569,B00000569,A0016,0.1,6550
C00000570,B00000570,A0017,0.05,11115
C00000571,B00000571,A0058,0.02,9308
C00000572,B00000572,A0047,0.15,21120
C00000573,B00000573,A0050,0.02,4984
C00000574,B00000574,A0036,0.15,24120
C00000575,B00000575,A0001,0.15,145665
C00000576,B00000576,A0004,0.1,9200
C00000577,B00000577,A0005,0.05,17560
C00000578,B00000578,A0056,0.02,2010
C00000579,B00000579,A0054,0.1,16320
C00000580,B00000580,A0008,0.15,3075
C00000581,B00000581,A0015,0.15,21615
C00000582,B00000582,A0052,0.15,3405
C00000583,B00000583,A0055,0.02,8640
C00000584,B00000584,A0006,0.02,1560
C00000585,B00000585,A0054,0.02,2448
C00000586,B00000586,A0006,0.02,15408
C00000587,B00000587,A0010,0.1,6240
C00000588,B00000588,A0017,0.02,10976
C00000589,B00000589,A0016,0.02,4992
C00000590,B00000590,A0022,0.02,9568
C00000591,B00000591,A0052,0.1,56420
C00000592,B00000592,A0037,0.02,7038
C00000593,B00000593,A0054,0.03,2688
C00000594,B00000594,A0024,0.15,24975
C00000595,B00000595,A0050,0.02,3872
C00000596,B00000596,A0058,0.15,7920
C00000597,B00000597,A0054,0.05,16485
C00000598,B00000598,A0045,0.05,5825
C00000599,B00000599,A0029,0.15,62640
C00000600,B00000600,A0038,0.02,3322
C00000601,B00000601,A0004,0.15,25650
C00000602,B00000602,A0028,0.02,3680
C00000603,B00000603,A0039,0.05,5770
C00000604,B00000604,A0024,0.05,13580
C00000605,B00000605,A0017,0.05,27960
C00000606,B00000606,A0018,0.1,27900
C00000607,B00000607,A0016,0.02,19936
C00000608,B00000608,A0034,0.02,2842
C00000609,B00000609,A0041,0.05,85030
C00000610,B00000610,A0031,0.05,15580
C00000611,B00000611,A0021,0.05,8220
C00000612,B00000612,A0004,0.15,31020
C00000613,B00000613,A0037,0.1,25740
C00000614,B00000614,A0050,0.1,23640
C00000615,B00000615,A0056,0.15,36270
C00000616,B00000616,A0007,0.02,2848
C00000617,B00000617,A0042,0.02,24866
C00000618,B00000618,A0059,0.1,33100
C00000619,B00000619,A0013,0.02,2980
C00000620,B00000620,A0047,0.15,50760
C00000621,B00000621,A0042,0.15,25935
C00000622,B00000622,A0054,0.05,10080
C00000623,B00000623,A0039,0.15,36540
C00000624,B00000624,A0036,0.02,3936
C00000625,B00000625,A0003,0.1,42020
C00000626,B00000626,A0047,0.1,9300
C00000627,B00000627,A0031,0.05,21780
C00000628,B00000628,A0010,0.02,3320
C00000629,B00000629,A0057,0.05,2960
C00000630,B00000630,A0060,0.02,6842
C00000631,B00000631,A0038,0.02,8020
C00000632,B00000632,A0006,0.02,762
C00000633,B00000633,A0016,0.15,31785
C00000634,B00000634,A0046,0.1,14880
C00000635,B00000635,A0055,0.05,10380
C00000636,B00000636,A0013,0.02,2232
C00000637,B00000637,A0042,0.02,8280
C00000638,B00000638,A0048,0.05,1550
C00000639,B00000639,A0004,0.02,460
C00000640,B00000640,A0058,0.02,7220
C00000641,B00000641,A0010,0.02,888
C00000642,B00000642,A0008,0.15,83160
C00000643,B00000643,A0050,0.1,14630
C00000644,B00000644,A0046,0.05,2370
C00000645,B00000645,A0006,0.15,18900
C00000646,B00000646,A0014,0.02,9592
C00000647,B00000647,A0017,0.1,6650
C00000648,B00000648,A0058,0.02,768
C00000649,B00000649,A0011,0.15,43875
C00000650,B00000650,A0047,0.03,8400
C00000651,B00000651,A0037,0.05,2940
C00000652,B00000652,A0049,0.02,3672
C00000653,B00000653,A0001,0.02,960
C00000654,B00000654,A0001,0.1,3580
C00000655,B00000655,A0049,0.05,9600
C00000656,B00000656,A0039,0.15,16470
C00000657,B00000657,A0053,0.02,3458
C00000658,B00000658,A0042,0.15,15975
C00000659,B00000659,A0030,0.05,13800
C00000660,B00000660,A0032,0.02,4900
C00000661,B00000661,A0055,0.05,12415
C00000662,B00000662,A0017,0.02,7540
C00000663,B00000663,A0044,0.02,5172
C00000664,B00000664,A0041,0.15,35100
C00000665,B00000665,A0058,0.03,7056
