payment_id,booking_id,payment_date,amount_cents,payment_method,payment_status
P00000104,B00000094,2025-12-10,138061,Points,settled
P00000105,B00000094,2025-12-03,115139,Debit Card,pending
P00000106,B00000095,2024-10-26,360000,Points,settled
P00000107,B00000096,2025-09-10,41600,Debit Card,settled
P00000108,B00000096,2025-10-08,-41600,Points,refunded
P00000109,B00000097,2024-02-09,166862,Points,settled
P00000110,B00000097,2024-01-13,48738,Debit Card,pending
P00000111,B00000098,2025-08-31,150300,Points,settled
P00000112,B00000099,2024-11-09,18400,Points,settled
P00000113,B00000100,2025-09-13,241800,Points,settled
P00000114,B00000101,2025-06-01,74800,Bank Transfer,settled
P00000115,B00000102,2024-10-17,177100,Credit Card,settled
P00000116,B00000103,2024-11-10,127200,Points,settled
P00000117,B00000104,2026-02-28,22800,Points,settled
P00000118,B00000105,2024-01-05,473200,Debit Card,settled
P00000119,B00000105,2024-02-27,-66170,Points,refunded
P00000120,B00000106,2024-08-13,284400,Bank Transfer,settled
P00000121,B00000107,2025-11-07,134400,Points,settled
P00000122,B00000108,2024-09-05,166400,Credit Card,settled
P00000123,B00000109,2024-05-04,192800,Debit Card,settled
P00000124,B00000110,2024-05-31,16000,Bank Transfer,settled
P00000125,B00000111,2025-08-13,32200,Points,settled
P00000126,B00000112,2025-10-29,247200,Debit Card,settled
P00000127,B00000113,2024-12-11,12693,Debit Card,settled
P00000128,B00000113,2024-11-16,13707,Credit Card,pending
P00000129,B00000114,2025-08-24,157200,Points,settled
P00000130,B00000115,2024-04-06,407700,Credit Card,settled
P00000131,B00000116,2025-06-09,78000,Points,settled
P00000132,B00000117,2025-06-23,148500,Points,settled
P00000133,B00000118,2025-03-03,245700,Bank Transfer,settled
P00000134,B00000119,2024-03-23,137700,Credit Card,settled
P00000135,B00000120,2024-04-10,1058400,Credit Card,settled
P00000136,B00000121,2024-10-28,176000,Credit Card,settled
P00000137,B00000122,2026-03-01,314000,Credit Card,settled
P00000138,B00000123,2025-06-24,203124,Credit Card,settled
P00000139,B00000123,2025-06-19,107676,Credit Card,pending
P00000140,B00000124,2025-08-29,85200,Credit Card,settled
P00000141,B00000125,2024-06-19,122400,Points,settled
P00000142,B00000126,2025-07-03,70400,Debit Card,settled
P00000143,B00000127,2025-07-26,74200,Bank Transfer,settled
P00000144,B00000128,2025-09-24,180800,Credit Card,settled
P00000145,B00000129,2024-10-27,189600,Debit Card,settled
P00000146,B00000130,2025-09-18,322000,Credit Card,settled
P00000147,B00000131,2026-02-25,105500,Credit Card,settled
P00000148,B00000132,2025-09-02,131000,Credit Card,settled
P00000149,B00000133,2025-07-08,220800,Bank Transfer,settled
P00000150,B00000134,2024-04-15,91500,Debit Card,settled
P00000151,B00000135,2025-02-22,201000,Debit Card,settled
P00000152,B00000136,2025-06-18,306800,Debit Card,settled
P00000153,B00000137,2025-03-02,841400,Debit Card,settled
P00000154,B00000138,2024-04-05,172000,Bank Transfer,settled
P00000155,B00000139,2025-10-26,169200,Credit Card,settled
P00000156,B00000140,2025-03-28,401999,Bank Transfer,settled
P00000157,B00000141,2024-05-04,507600,Credit Card,settled
P00000158,B00000141,2024-05-29,-507600,Credit Card,refunded
P00000159,B00000142,2025-08-11,731656,Points,settled
P00000160,B00000143,2025-05-07,164500,Credit Card,settled
P00000161,B00000143,2025-06-02,-164500,Credit Card,refunded
P00000162,B00000144,2025-07-13,112700,Points,settled
P00000163,B00000145,2026-04-13,95700,Points,settled
P00000164,B00000146,2025-03-13,54666,Debit Card,settled
P00000165,B00000146,2025-03-07,62934,Points,pending
P00000166,B00000147,2024-07-21,306600,Credit Card,settled
P00000167,B00000148,2025-11-23,65439,Debit Card,settled
P00000168,B00000148,2025-10-22,62561,Debit Card,pending
P00000169,B00000149,2024-04-10,349000,Debit Card,settled
P00000170,B00000150,2026-02-21,328763,Bank Transfer,settled
P00000171,B00000151,2025-06-25,175500,Debit Card,settled
P00000172,B00000152,2025-10-29,147400,Points,settled
P00000173,B00000153,2025-10-11,416400,Debit Card,settled
P00000174,B00000154,2024-02-26,468600,Bank Transfer,settled
P00000175,B00000155,2024-09-29,79500,Bank Transfer,settled
P00000176,B00000156,2024-07-01,274800,Points,settled
P00000177,B00000157,2025-01-28,596700,Credit Card,settled
P00000178,B00000158,2024-03-22,178000,Debit Card,settled
P00000179,B00000159,2026-01-04,83771,Bank Transfer,settled
P00000180,B00000160,2024-11-19,25800,Bank Transfer,settled
P00000181,B00000161,2025-08-27,46800,Credit Card,settled
P00000182,B00000162,2025-01-19,22100,Bank Transfer,settled
P00000183,B00000163,2025-03-03,280585,Credit Card,settled
P00000184,B00000164,2024-09-26,293572,Debit Card,settled
P00000185,B00000164,2024-09-24,182828,Points,pending
P00000186,B00000165,2024-03-06,126000,Bank Transfer,settled
P00000187,B00000166,2025-06-17,514800,Points,settled
P00000188,B00000167,2024-08-26,437305,Points,settled
P00000189,B00000167,2024-09-06,384495,Credit Card,pending
P00000190,B00000168,2025-07-11,55200,Bank Transfer,settled
P00000191,B00000169,2025-08-02,101500,Bank Transfer,settled
P00000192,B00000170,2025-11-13,91704,Credit Card,settled
P00000193,B00000171,2024-07-18,191200,Bank Transfer,settled
P00000194,B00000172,2024-09-17,700000,Bank Transfer,settled
P00000195,B00000174,2024-03-01,123300,Credit Card,settled
P00000196,B00000175,2024-03-07,256200,Debit Card,settled
P00000197,B00000176,2025-08-19,1065400,Debit Card,settled
P00000198,B00000177,2025-12-27,63000,Debit Card,settled
P00000199,B00000178,2025-03-17,82800,Bank Transfer,settled
P00000200,B00000179,2024-02-12,155000,Bank Transfer,settled
P00000201,B00000179,2024-03-05,-155000,Credit Card,refunded
P00000202,B00000180,2025-06-21,496800,Bank Transfer,settled
P00000203,B00000181,2025-09-20,121600,Bank Transfer,settled
P00000204,B00000182,2025-08-05,17000,Bank Transfer,settled
P00000205,B00000183,2024-10-23,44400,Points,settled
P00000206,B00000184,2024-10-10,134400,Points,settled
P00000207,B00000185,2024-11-10,260800,Credit Card,settled
P00000208,B00000186,2024-12-21,943200,Debit Card,settled
P00000209,B00000187,2025-05-15,220000,Points,settled
P00000210,B00000188,2024-12-24,41000,Bank Transfer,settled
P00000211,B00000189,2024-03-22,29900,Bank Transfer,settled
P00000212,B00000190,2024-03-20,443000,Credit Card,settled
P00000213,B00000191,2025-12-11,2024100,Points,settled
P00000214,B00000192,2026-03-29,389400,Points,settled
P00000215,B00000193,2024-08-06,39400,Points,settled
P00000216,B00000194,2024-09-06,9374,Credit Card,settled
P00000217,B00000194,2024-09-30,11026,Bank Transfer,pending
P00000218,B00000195,2025-07-17,388800,Debit Card,settled
P00000219,B00000196,2025-10-05,108000,Bank Transfer,settled
P00000220,B00000197,2024-12-21,62400,Bank Transfer,settled
P00000221,B00000198,2024-05-17,96800,Points,settled
P00000222,B00000199,2024-12-20,182400,Debit Card,settled
P00000223,B00000200,2024-04-20,38400,Credit Card,settled
P00000224,B00000201,2024-05-22,206000,Credit Card,settled
P00000225,B00000202,2025-03-01,273000,Debit Card,settled
P00000226,B00000203,2025-03-17,166800,Debit Card,settled
P00000227,B00000204,2024-06-09,162800,Debit Card,settled
P00000228,B00000205,2025-03-20,41468,Points,settled
P00000229,B00000206,2025-10-29,547400,Credit Card,settled
P00000230,B00000207,2025-06-07,91500,Points,settled
P00000231,B00000208,2024-07-10,258700,Points,settled
P00000232,B00000209,2024-12-30,38000,Credit Card,settled
P00000233,B00000209,2025-01-14,-38000,Debit Card,refunded
P00000234,B00000210,2025-02-20,42600,Credit Card,settled
P00000235,B00000211,2025-05-18,100500,Debit Card,settled
P00000236,B00000212,2025-10-25,179200,Debit Card,settled
P00000237,B00000213,2024-02-29,19500,Credit Card,settled
P00000238,B00000214,2024-03-31,171600,Debit Card,settled
P00000239,B00000214,2024-05-08,-17706,Credit Card,refunded
P00000240,B00000215,2026-02-02,46511,Credit Card,settled
P00000241,B00000215,2026-01-30,62089,Points,pending
P00000242,B00000216,2024-10-13,258182,Credit Card,settled
P00000243,B00000217,2025-02-16,54000,Debit Card,settled
P00000244,B00000218,2026-01-03,436800,Credit Card,settled
P00000245,B00000219,2025-07-28,302400,Credit Card,settled
P00000246,B00000220,2025-05-31,71700,Debit Card,settled
P00000247,B00000221,2024-12-08,150700,Debit Card,settled
P00000248,B00000222,2025-12-07,123200,Points,settled
P00000249,B00000223,2024-09-22,93000,Points,settled
P00000250,B00000225,2025-08-20,135200,Debit Card,settled
P00000251,B00000226,2024-10-21,16400,Bank Transfer,settled
P00000252,B00000227,2025-11-04,127200,Credit Card,settled
P00000253,B00000228,2024-03-21,375000,Debit Card,settled
P00000254,B00000229,2024-05-24,247800,Credit Card,settled
P00000255,B00000230,2025-05-05,103600,Credit Card,settled
P00000256,B00000231,2025-04-10,140100,Debit Card,settled
P00000257,B00000231,2025-05-15,-140100,Bank Transfer,refunded
P00000258,B00000232,2025-11-10,132300,Debit Card,settled
P00000259,B00000233,2025-04-24,620200,Credit Card,settled
P00000260,B00000235,2025-11-17,101400,Bank Transfer,settled
P00000261,B00000236,2024-08-22,19400,Points,settled
P00000262,B00000237,2024-12-12,730400,Bank Transfer,settled
P00000263,B00000238,2026-03-07,123000,Points,settled
P00000264,B00000239,2024-08-16,178759,Credit Card,settled
P00000265,B00000240,2024-03-11,111000,Debit Card,settled
P00000266,B00000240,2024-04-05,-111000,Credit Card,refunded
P00000267,B00000241,2025-12-07,196800,Credit Card,settled
P00000268,B00000242,2024-04-14,521300,Credit Card,settled
P00000269,B00000242,2024-05-12,-521300,Credit Card,refunded
P00000270,B00000243,2024-09-24,99600,Debit Card,settled
P00000271,B00000244,2025-08-19,87608,Credit Card,settled
P00000272,B00000245,2025-09-09,214800,Points,settled
P00000273,B00000246,2024-08-06,97200,Credit Card,settled
P00000274,B00000247,2024-12-12,417000,Debit Card,settled
P00000275,B00000248,2024-06-13,148500,Points,settled
P00000276,B00000249,2024-04-24,82400,Bank Transfer,settled
P00000277,B00000250,2025-12-11,103200,Credit Card,settled
P00000278,B00000251,2025-10-13,15700,Debit Card,settled
P00000279,B00000251,2025-11-03,-2771,Credit Card,refunded
P00000280,B00000252,2025-04-20,118471,Points,settled
P00000281,B00000252,2025-04-25,73029,Points,pending
P00000282,B00000253,2024-01-20,57600,Bank Transfer,settled
P00000283,B00000254,2025-10-26,201052,Bank Transfer,settled
P00000284,B00000254,2025-11-01,132548,Points,pending
P00000285,B00000255,2024-11-23,13700,Points,settled
P00000286,B00000256,2024-12-22,191400,Credit Card,settled
P00000287,B00000257,2024-03-09,748000,Bank Transfer,settled
P00000288,B00000258,2024-07-14,170400,Debit Card,settled
P00000289,B00000259,2025-08-02,1491000,Points,settled
P00000290,B00000260,2025-08-02,159000,Bank Transfer,settled
P00000291,B00000261,2025-07-18,58400,Debit Card,settled
P00000292,B00000262,2025-01-02,190300,Debit Card,settled
P00000293,B00000264,2025-11-02,169000,Points,settled
P00000294,B00000265,2024-02-05,46500,Points,settled
P00000295,B00000266,2025-01-09,390000,Points,settled
P00000296,B00000268,2024-08-09,295100,Debit Card,settled
P00000297,B00000269,2025-05-22,263000,Points,settled
P00000298,B00000270,2025-02-09,180000,Debit Card,settled
P00000299,B00000270,2025-03-29,-180000,Points,refunded
P00000300,B00000272,2024-11-23,1097600,Credit Card,settled
P00000301,B00000273,2025-07-11,426300,Bank Transfer,settled
P00000302,B00000273,2025-08-24,-426300,Credit Card,refunded
P00000303,B00000274,2025-01-06,188400,Credit Card,settled
P00000304,B00000275,2024-04-05,65100,Bank Transfer,settled
P00000305,B00000276,2026-02-12,249200,Debit Card,settled
P00000306,B00000277,2026-01-08,74366,Bank Transfer,settled
P00000307,B00000277,2025-12-21,102734,Credit Card,pending
P00000308,B00000278,2024-03-30,176400,Debit Card,settled
P00000309,B00000279,2025-02-08,483000,Debit Card,settled
P00000310,B00000280,2024-10-26,146000,Debit Card,settled
P00000311,B00000281,2026-02-04,206400,Points,settled
P00000312,B00000282,2026-03-26,227500,Debit Card,settled
P00000313,B00000283,2024-08-08,59100,Points,settled
P00000314,B00000284,2024-06-29,840392,Bank Transfer,settled
P00000315,B00000284,2024-07-10,822808,Debit Card,pending
P00000316,B00000285,2025-11-10,176000,Bank Transfer,settled
P00000317,B00000286,2025-05-06,144000,Credit Card,settled
P00000318,B00000287,2024-09-18,132300,Debit Card,settled
P00000319,B00000288,2025-11-13,128400,Bank Transfer,settled
P00000320,B00000289,2026-01-05,117600,Bank Transfer,settled
P00000321,B00000290,2024-05-07,246400,Points,settled
P00000322,B00000291,2024-03-12,263063,Bank Transfer,settled
P00000323,B00000292,2026-02-12,40200,Points,settled
P00000324,B00000293,2025-06-19,96000,Debit Card,settled
P00000325,B00000294,2025-08-22,163900,Debit Card,settled
P00000326,B00000294,2025-10-03,-163900,Debit Card,refunded
P00000327,B00000295,2025-07-14,16500,Bank Transfer,settled
P00000328,B00000296,2024-01-21,393600,Bank Transfer,settled
P00000329,B00000297,2025-06-10,312000,Credit Card,settled
P00000330,B00000298,2024-05-02,113400,Bank Transfer,settled
P00000331,B00000299,2026-01-19,165000,Debit Card,settled
P00000332,B00000300,2024-08-19,69600,Debit Card,settled
P00000333,B00000301,2024-08-27,195600,Points,settled
P00000334,B00000302,2026-02-26,298200,Points,settled
P00000335,B00000303,2026-03-26,810600,Credit Card,settled
P00000336,B00000304,2024-06-14,614000,Points,settled
P00000337,B00000305,2025-12-07,227700,Points,settled
P00000338,B00000306,2024-09-03,88000,Credit Card,settled
P00000339,B00000307,2024-10-15,123500,Credit Card,settled
P00000340,B00000308,2025-10-29,32600,Bank Transfer,settled
P00000341,B00000309,2024-06-22,64100,Credit Card,settled
P00000342,B00000310,2024-09-11,156600,Points,settled
P00000343,B00000311,2025-02-04,320600,Points,settled
P00000344,B00000312,2024-11-12,432000,Debit Card,settled
P00000345,B00000313,2025-08-05,324000,Credit Card,settled
P00000346,B00000314,2025-03-31,289100,Bank Transfer,settled
P00000347,B00000314,2025-04-18,-289100,Points,refunded
P00000348,B00000316,2025-12-23,419000,Bank Transfer,settled
P00000349,B00000317,2024-06-25,144900,Credit Card,settled
P00000350,B00000318,2024-12-06,248300,Bank Transfer,settled
P00000351,B00000319,2025-11-16,20100,Debit Card,settled
P00000352,B00000320,2025-10-28,116400,Points,settled
P00000353,B00000321,2024-03-31,13700,Points,settled
P00000354,B00000322,2025-04-13,787200,Points,settled
P00000355,B00000323,2025-06-18,234000,Points,settled
P00000356,B00000323,2025-07-27,-234000,Credit Card,refunded
P00000357,B00000324,2024-06-17,111600,Credit Card,settled
P00000358,B00000325,2024-09-01,415800,Bank Transfer,settled
P00000359,B00000326,2025-08-14,384000,Debit Card,settled
P00000360,B00000327,2026-01-28,136500,Bank Transfer,settled
P00000361,B00000328,2025-11-01,456300,Credit Card,settled
P00000362,B00000329,2025-09-06,23700,Points,settled
P00000363,B00000330,2025-05-05,19700,Bank Transfer,settled
P00000364,B00000331,2025-07-10,87500,Credit Card,settled
P00000365,B00000332,2025-12-16,75500,Credit Card,settled
P00000366,B00000333,2025-06-28,257400,Points,settled
P00000367,B00000334,2024-12-08,340000,Points,settled
P00000368,B00000335,2025-02-26,117300,Points,settled
P00000369,B00000335,2025-04-20,-117300,Bank Transfer,refunded
P00000370,B00000336,2025-06-14,214000,Bank Transfer,settled
P00000371,B00000337,2024-11-12,309400,Debit Card,settled
P00000372,B00000338,2025-02-19,722000,Points,settled
P00000373,B00000339,2024-08-08,12700,Points,settled
P00000374,B00000340,2025-12-15,264000,Credit Card,settled
P00000375,B00000341,2024-11-07,41600,Debit Card,settled
P00000376,B00000342,2024-12-04,400800,Points,settled
P00000377,B00000343,2026-01-30,132000,Bank Transfer,settled
P00000378,B00000344,2025-08-20,226000,Bank Transfer,settled
P00000379,B00000345,2026-01-29,132800,Points,settled
P00000380,B00000346,2024-06-27,472048,Debit Card,settled
P00000381,B00000348,2024-05-17,87000,Points,settled
P00000382,B00000349,2025-02-28,607600,Credit Card,settled
P00000383,B00000350,2025-01-15,121100,Points,settled
P00000384,B00000351,2025-09-15,249000,Credit Card,settled
P00000385,B00000352,2025-08-04,169400,Credit Card,settled
P00000386,B00000353,2025-08-23,222300,Bank Transfer,settled
P00000387,B00000354,2026-01-12,59400,Debit Card,settled
P00000388,B00000355,2024-12-31,123345,Bank Transfer,settled
P00000389,B00000355,2025-01-05,73555,Bank Transfer,pending
P00000390,B00000356,2025-06-11,17900,Points,settled
P00000391,B00000357,2025-01-01,33800,Credit Card,settled
P00000392,B00000358,2024-07-12,178000,Credit Card,settled
P00000393,B00000359,2024-05-11,73154,Credit Card,settled
P00000394,B00000360,2024-09-04,174263,Bank Transfer,settled
P00000395,B00000360,2024-09-01,72837,Bank Transfer,pending
P00000396,B00000361,2025-08-20,128000,Points,settled
P00000397,B00000362,2025-08-01,55800,Points,settled
P00000398,B00000363,2024-08-09,58000,Bank Transfer,settled
P00000399,B00000364,2024-12-24,153900,Points,settled
P00000400,B00000365,2025-02-01,44100,Credit Card,settled
P00000401,B00000365,2025-02-11,-44100,Debit Card,refunded
P00000402,B00000366,2025-07-26,109200,Debit Card,settled
P00000403,B00000367,2025-10-30,89500,Credit Card,settled
P00000404,B00000368,2025-03-12,133600,Points,settled
P00000405,B00000369,2025-05-31,192000,Bank Transfer,settled
P00000406,B00000370,2025-02-01,71200,Credit Card,settled
P00000407,B00000371,2024-07-14,172000,Credit Card,settled
P00000408,B00000371,2024-08-16,-24224,Points,refunded
P00000409,B00000372,2025-06-29,81000,Credit Card,settled
P00000410,B00000373,2024-11-03,80000,Points,settled
P00000411,B00000374,2025-05-02,285600,Points,settled
P00000412,B00000375,2024-09-24,414000,Debit Card,settled
P00000413,B00000376,2025-06-04,161000,Points,settled
P00000414,B00000376,2025-07-15,-161000,Debit Card,refunded
P00000415,B00000377,2025-04-26,397464,Bank Transfer,settled
P00000416,B00000378,2024-06-12,402000,Credit Card,settled
P00000417,B00000379,2025-08-12,250900,Points,settled
P00000418,B00000380,2025-02-14,21600,Credit Card,settled
P00000419,B00000381,2024-06-30,233800,Points,settled
P00000420,B00000382,2024-07-06,130200,Credit Card,settled
P00000421,B00000383,2025-08-11,43100,Credit Card,settled
P00000422,B00000384,2026-02-01,46400,Credit Card,settled
P00000423,B00000385,2025-01-20,188100,Credit Card,settled
P00000424,B00000385,2025-03-01,-188100,Bank Transfer,refunded
P00000425,B00000386,2024-02-06,52800,Debit Card,settled
P00000426,B00000387,2026-03-03,1989000,Debit Card,settled
P00000427,B00000387,2026-04-02,-1989000,Debit Card,refunded
P00000428,B00000388,2025-05-19,141000,Credit Card,settled
P00000429,B00000389,2024-11-25,174000,Debit Card,settled
P00000430,B00000390,2025-10-27,660000,Bank Transfer,settled
P00000431,B00000391,2025-01-01,78000,Points,settled
P00000432,B00000392,2023-12-30,278600,Debit Card,settled
P00000433,B00000393,2024-10-18,32400,Bank Transfer,settled
P00000434,B00000394,2025-01-21,257400,Points,settled
P00000435,B00000395,2025-06-17,91600,Points,settled
P00000436,B00000396,2025-09-15,132000,Bank Transfer,settled
P00000437,B00000397,2025-03-12,47361,Debit Card,settled
P00000438,B00000397,2025-03-29,38139,Bank Transfer,pending
P00000439,B00000398,2025-08-05,157200,Credit Card,settled
P00000440,B00000399,2025-11-12,387600,Debit Card,settled
P00000441,B00000399,2025-12-10,-387600,Credit Card,refunded
P00000442,B00000400,2025-12-06,28200,Points,settled
P00000443,B00000401,2024-04-10,205700,Bank Transfer,settled
P00000444,B00000402,2024-06-01,189600,Debit Card,settled
P00000445,B00000403,2025-06-14,239400,Points,settled
P00000446,B00000404,2024-07-01,82000,Credit Card,settled
P00000447,B00000405,2024-02-12,51200,Points,settled
P00000448,B00000407,2024-03-21,504000,Bank Transfer,settled
P00000449,B00000407,2024-04-29,-504000,Bank Transfer,refunded
P00000450,B00000408,2025-11-04,159400,Bank Transfer,settled
P00000451,B00000409,2025-04-25,358000,Points,settled
P00000452,B00000409,2025-06-08,-358000,Debit Card,refunded
P00000453,B00000410,2025-06-04,40200,Debit Card,settled
P00000454,B00000411,2025-07-09,88000,Debit Card,settled
P00000455,B00000412,2024-11-16,234000,Points,settled
P00000456,B00000413,2025-11-24,183000,Points,settled
P00000457,B00000414,2024-10-29,43800,Debit Card,settled
P00000458,B00000415,2024-10-31,191000,Debit Card,settled
P00000459,B00000416,2024-11-17,1065400,Credit Card,settled
P00000460,B00000417,2024-06-05,533400,Credit Card,settled
P00000461,B00000419,2024-05-20,143100,Bank Transfer,settled
P00000462,B00000420,2025-02-19,69691,Debit Card,settled
P00000463,B00000421,2025-01-24,67500,Debit Card,settled
P00000464,B00000422,2024-03-02,676200,Points,settled
P00000465,B00000423,2024-05-07,125300,Points,settled
P00000466,B00000424,2025-12-26,47919,Bank Transfer,settled
P00000467,B00000424,2025-12-02,49881,Debit Card,pending
P00000468,B00000425,2024-04-22,140400,Points,settled
P00000469,B00000426,2025-05-07,351900,Credit Card,settled
P00000470,B00000427,2024-03-23,255200,Bank Transfer,settled
P00000471,B00000428,2025-06-13,673200,Bank Transfer,settled
P00000472,B00000429,2025-07-21,120600,Credit Card,settled
P00000473,B00000430,2024-08-31,171000,Bank Transfer,settled
P00000474,B00000431,2024-04-10,196900,Bank Transfer,settled
P00000475,B00000432,2025-06-06,66900,Credit Card,settled
P00000476,B00000432,2025-07-10,-66900,Credit Card,refunded
P00000477,B00000433,2025-10-05,445800,Points,settled
P00000478,B00000434,2024-05-17,315900,Bank Transfer,settled
P00000479,B00000435,2025-02-04,140040,Bank Transfer,settled
P00000480,B00000435,2025-01-27,109560,Debit Card,pending
P00000481,B00000436,2024-10-06,186000,Debit Card,settled
P00000482,B00000437,2025-06-10,666000,Bank Transfer,settled
P00000483,B00000437,2025-07-24,-666000,Bank Transfer,refunded
