booking_id,guest_id,resort_id,agent_id,booking_date,checkin_date,checkout_date,room_type,nights,nightly_rate_cents,booked_amount_cents,channel,status
B00000099,G000638,R0027,A0017,2024-11-06,2024-11-08,2024-11-09,Standard Double,1,18400,18400,Direct,completed
B00000100,G001200,R0028,A0052,2025-09-03,2025-10-03,2025-10-16,Standard King,13,18600,241800,OTA,completed
B00000101,G000325,R0015,A0017,2025-03-08,2025-05-28,2025-06-01,Standard Double,4,18700,74800,Travel Agent,completed
B00000102,G000560,R0005,A0012,2024-10-23,2024-11-07,2024-11-18,Standard Double,11,16100,177100,Travel Agent,completed
B00000103,G000419,R0002,A0012,2024-10-15,2024-11-19,2024-11-22,Ocean Suite,3,42400,127200,Direct,completed
B00000104,G001900,R0032,A0024,2025-12-14,2026-03-26,2026-03-27,Standard King,1,22800,22800,Loyalty,completed
B00000105,G001563,R0017,A0053,2024-01-13,2024-01-29,2024-02-11,Ocean Suite,13,36400,473200,Loyalty,completed
B00000106,G001324,R0020,A0060,2024-06-11,2024-08-31,2024-09-12,Standard King,12,23700,284400,OTA,completed
B00000107,G000967,R0014,A0008,2025-10-10,2025-12-05,2025-12-11,Standard King,6,22400,134400,OTA,completed
B00000108,G000367,R0010,A0024,2024-09-11,2024-10-02,2024-10-10,Standard King,8,20800,166400,Loyalty,no_show
B00000109,G002197,R0010,A0045,2024-04-19,2024-05-06,2024-05-14,Standard King,8,24100,192800,Corporate,confirmed
B00000110,G002968,R0025,A0023,2024-05-17,2024-06-19,2024-06-20,Standard Double,1,16000,16000,Direct,completed
B00000111,G002453,R0030,A0018,2025-07-21,2025-08-11,2025-08-13,Standard Double,2,16100,32200,Corporate,completed
B00000112,G001492,R0002,A0040,2025-09-27,2025-10-28,2025-11-03,Ocean Suite,6,41200,247200,OTA,completed
B00000113,G002626,R0021,A0027,2024-11-25,2024-12-10,2024-12-12,Standard Double,2,13200,26400,Corporate,completed
B00000114,G002007,R0025,A0043,2025-06-22,2025-09-10,2025-09-22,Standard Double,12,13100,157200,Direct,confirmed
B00000115,G002618,R0006,A0030,2024-03-03,2024-04-19,2024-04-28,Ocean Suite,9,45300,407700,Corporate,confirmed
B00000116,G000885,R0020,A0005,2025-06-15,2025-06-28,2025-06-30,Ocean Suite,2,39000,78000,Direct,completed
B00000117,G002763,R0037,A0023,2025-04-14,2025-07-13,2025-07-24,Standard Double,11,13500,148500,Corporate,completed
B00000118,G001330,R0021,A0036,2025-01-15,2025-03-09,2025-03-22,Standard Double,13,18900,245700,OTA,completed
B00000119,G001627,R0029,A0029,2024-01-01,2024-04-03,2024-04-04,Presidential,1,137700,137700,OTA,no_show
B00000120,G001290,R0015,A0014,2024-01-23,2024-05-01,2024-05-15,Villa,14,75600,1058400,Loyalty,completed
B00000121,G000567,R0023,A0010,2024-09-28,2024-11-14,2024-11-24,Standard King,10,17600,176000,OTA,completed
B00000122,G002000,R0031,A0012,2025-12-07,2026-03-07,2026-03-17,Ocean Suite,10,31400,314000,Travel Agent,completed
B00000123,G001779,R0022,A0023,2025-03-02,2025-06-30,2025-07-14,Standard King,14,22200,310800,Travel Agent,confirmed
B00000124,G001339,R0037,A0010,2025-05-29,2025-08-27,2025-08-31,Standard King,4,21300,85200,Loyalty,no_show
B00000125,G001616,R0019,A0051,2024-05-31,2024-06-17,2024-06-23,Standard King,6,20400,122400,Direct,completed
B00000126,G000553,R0009,A0049,2025-05-07,2025-07-18,2025-07-22,Standard Double,4,17600,70400,Direct,completed
B00000127,G002805,R0028,A0021,2025-08-12,2025-08-24,2025-08-26,Ocean Suite,2,37100,74200,OTA,completed
B00000128,G001812,R0023,A0040,2025-09-30,2025-10-19,2025-10-27,Standard King,8,22600,180800,Direct,completed
B00000129,G000605,R0016,A0040,2024-10-21,2024-10-23,2024-10-29,Ocean Suite,6,31600,189600,OTA,completed
B00000130,G001060,R0034,A0049,2025-07-15,2025-09-15,2025-09-25,Ocean Suite,10,32200,322000,Travel Agent,completed
B00000131,G000823,R0004,A0019,2025-12-14,2026-03-04,2026-03-09,Standard King,5,21100,105500,Direct,completed
B00000132,G001560,R0025,A0015,2025-06-04,2025-09-03,2025-09-05,Villa,2,65500,131000,OTA,completed
B00000133,G001367,R0034,A0020,2025-05-16,2025-07-06,2025-07-18,Standard King,12,18400,220800,OTA,completed
B00000134,G001586,R0017,A0057,2024-01-31,2024-04-12,2024-04-17,Standard King,5,18300,91500,OTA,completed
B00000135,G001747,R0037,A0010,2024-11-15,2025-03-12,2025-03-22,Standard King,10,20100,201000,Direct,completed
B00000136,G000554,R0034,A0059,2025-03-16,2025-07-11,2025-07-24,Standard King,13,23600,306800,Loyalty,completed
B00000137,G000121,R0010,A0047,2024-11-22,2025-03-15,2025-03-22,Presidential,7,120200,841400,Travel Agent,confirmed
B00000138,G000757,R0007,A0009,2024-01-27,2024-05-04,2024-05-14,Standard Double,10,17200,172000,Travel Agent,completed
B00000139,G002058,R0031,A0009,2025-09-11,2025-11-11,2025-11-23,Standard Double,12,14100,169200,OTA,completed
B00000140,G001106,R0001,A0060,2025-02-26,2025-03-27,2025-04-08,Ocean Suite,12,33200,398400,Direct,completed
B00000141,G001659,R0016,A0028,2024-02-12,2024-04-30,2024-05-12,Ocean Suite,12,42300,507600,OTA,cancelled
B00000142,G001007,R0003,A0057,2025-06-15,2025-08-23,2025-08-30,Presidential,7,104300,730100,OTA,confirmed
B00000143,G001172,R0020,A0050,2025-04-17,2025-05-09,2025-05-16,Standard King,7,23500,164500,Travel Agent,cancelled
B00000144,G002852,R0038,A0058,2025-07-13,2025-07-31,2025-08-07,Standard Double,7,16100,112700,Direct,completed
B00000145,G002657,R0021,A0045,2025-12-29,2026-04-10,2026-04-13,Ocean Suite,3,31900,95700,Direct,completed
B00000146,G000655,R0033,A0040,2025-01-22,2025-04-03,2025-04-10,Standard King,7,16800,117600,OTA,confirmed
B00000147,G002566,R0029,A0019,2024-07-04,2024-07-20,2024-07-23,Presidential,3,102200,306600,Corporate,completed
B00000148,G000889,R0032,A0016,2025-08-25,2025-11-18,2025-11-26,Standard Double,8,16000,128000,Travel Agent,completed
B00000149,G000596,R0023,A0003,2024-02-03,2024-04-29,2024-05-09,Ocean Suite,10,34900,349000,Loyalty,completed
B00000150,G002833,R0040,A0043,2025-12-17,2026-03-04,2026-03-14,Ocean Suite,10,32800,328000,OTA,completed
B00000151,G000278,R0025,A0053,2025-03-13,2025-06-29,2025-07-08,Standard King,9,19500,175500,Direct,confirmed
B00000152,G000448,R0040,A0004,2025-08-08,2025-11-10,2025-11-21,Standard Double,11,13400,147400,Travel Agent,completed
B00000153,G002153,R0021,A0017,2025-08-11,2025-10-30,2025-11-05,Villa,6,69400,416400,OTA,confirmed
B00000154,G000485,R0013,A0001,2024-01-25,2024-03-25,2024-04-05,Ocean Suite,11,42600,468600,Direct,completed
B00000155,G002624,R0014,A0001,2024-07-25,2024-10-22,2024-10-27,Standard King,5,15900,79500,OTA,completed
B00000156,G000120,R0037,A0040,2024-06-28,2024-07-23,2024-07-29,Ocean Suite,6,45800,274800,OTA,completed
B00000157,G002200,R0030,A0058,2024-12-09,2025-02-07,2025-02-20,Ocean Suite,13,45900,596700,Direct,completed
B00000158,G001449,R0022,A0052,2024-03-08,2024-03-28,2024-04-02,Ocean Suite,5,35600,178000,OTA,completed
B00000159,G001289,R0020,A0046,2025-12-27,2026-01-01,2026-01-06,Standard Double,5,16400,82000,Direct,completed
B00000160,G000154,R0024,A0051,2024-07-25,2024-11-19,2024-11-21,Standard Double,2,12900,25800,OTA,completed
B00000161,G000403,R0010,A0050,2025-06-12,2025-09-07,2025-09-10,Standard King,3,15600,46800,OTA,confirmed
B00000162,G000357,R0039,A0056,2024-12-07,2025-02-05,2025-02-06,Standard King,1,22100,22100,Travel Agent,completed
B00000163,G002181,R0019,A0018,2024-11-22,2025-03-01,2025-03-09,Ocean Suite,8,34500,276000,Direct,completed
B00000164,G001305,R0023,A0036,2024-10-04,2024-10-23,2024-11-04,Ocean Suite,12,39700,476400,Direct,completed
B00000165,G001572,R0004,A0007,2024-02-25,2024-03-08,2024-03-15,Standard Double,7,18000,126000,Corporate,completed
B00000166,G002748,R0013,A0046,2025-06-30,2025-07-11,2025-07-24,Ocean Suite,13,39600,514800,Direct,confirmed
B00000167,G000950,R0030,A0031,2024-08-17,2024-09-05,2024-09-19,Villa,14,58700,821800,OTA,completed
B00000168,G001961,R0008,A0023,2025-04-17,2025-08-04,2025-08-07,Standard King,3,18400,55200,OTA,completed
B00000169,G001238,R0005,A0051,2025-06-29,2025-08-28,2025-09-04,Standard Double,7,14500,101500,Direct,completed
B00000170,G001784,R0038,A0028,2025-08-03,2025-11-12,2025-11-18,Standard Double,6,14500,87000,Travel Agent,completed
B00000171,G002274,R0030,A0021,2024-04-09,2024-07-24,2024-08-01,Standard King,8,23900,191200,Direct,completed
B00000172,G000892,R0004,A0006,2024-05-22,2024-09-13,2024-09-23,Villa,10,70000,700000,Direct,completed
B00000173,G000802,R0037,A0029,2024-07-29,2024-10-25,2024-10-31,Standard King,6,22400,134400,Travel Agent,cancelled
B00000174,G002387,R0023,A0006,2024-01-09,2024-03-28,2024-04-06,Standard Double,9,13700,123300,Direct,completed
B00000175,G001156,R0023,A0008,2024-02-01,2024-03-03,2024-03-10,Ocean Suite,7,36600,256200,OTA,completed
B00000176,G000771,R0031,A0009,2025-07-22,2025-09-10,2025-09-24,Villa,14,76100,1065400,Direct,no_show
B00000177,G001994,R0010,A0047,2025-11-04,2025-12-30,2026-01-02,Standard King,3,21000,63000,OTA,completed
B00000178,G001844,R0028,A0036,2025-01-28,2025-03-15,2025-03-19,Standard King,4,20700,82800,OTA,confirmed
B00000179,G001504,R0035,A0037,2024-02-04,2024-02-09,2024-02-19,Standard Double,10,15500,155000,OTA,cancelled
B00000180,G001005,R0040,A0006,2025-04-28,2025-07-18,2025-07-30,Ocean Suite,12,41400,496800,Travel Agent,completed
B00000181,G001860,R0001,A0031,2025-06-08,2025-10-02,2025-10-10,Standard Double,8,15200,121600,OTA,no_show
B00000182,G001246,R0039,A0048,2025-07-31,2025-09-03,2025-09-04,Standard Double,1,17000,17000,OTA,completed
B00000183,G000315,R0009,A0033,2024-10-11,2024-11-13,2024-11-16,Standard Double,3,14800,44400,Direct,confirmed
B00000184,G002871,R0012,A0017,2024-08-29,2024-10-31,2024-11-03,Ocean Suite,3,44800,134400,OTA,completed
B00000185,G001570,R0027,A0050,2024-08-31,2024-11-24,2024-12-02,Ocean Suite,8,32600,260800,OTA,confirmed
B00000186,G001951,R0030,A0026,2024-11-04,2025-01-04,2025-01-16,Villa,12,78600,943200,Direct,completed
B00000187,G001183,R0028,A0001,2025-04-04,2025-05-23,2025-06-03,Standard King,11,20000,220000,Loyalty,completed
B00000188,G001108,R0018,A0022,2024-09-30,2025-01-11,2025-01-13,Standard King,2,20500,41000,OTA,completed
B00000189,G002244,R0012,A0021,2024-01-11,2024-04-07,2024-04-08,Ocean Suite,1,29900,29900,Direct,completed
B00000190,G002538,R0003,A0002,2024-04-04,2024-04-12,2024-04-22,Ocean Suite,10,44300,443000,Loyalty,completed
B00000191,G002689,R0009,A0025,2025-10-25,2026-01-06,2026-01-19,Presidential,13,155700,2024100,Travel Agent,completed
B00000192,G001749,R0018,A0050,2025-12-09,2026-04-04,2026-04-15,Ocean Suite,11,35400,389400,Direct,completed
B00000193,G001085,R0004,A0017,2024-07-01,2024-08-27,2024-08-29,Standard Double,2,19700,39400,Travel Agent,completed
B00000194,G001809,R0007,A0059,2024-09-22,2024-10-06,2024-10-07,Standard King,1,20400,20400,Direct,completed
B00000195,G001603,R0022,A0058,2025-08-11,2025-08-12,2025-08-21,Ocean Suite,9,43200,388800,OTA,completed
B00000196,G002324,R0031,A0008,2025-07-02,2025-10-30,2025-11-05,Standard King,6,18000,108000,Direct,no_show
B00000197,G001883,R0022,A0006,2024-10-23,2025-01-14,2025-01-18,Standard King,4,15600,62400,OTA,completed
B00000198,G000777,R0029,A0048,2024-05-23,2024-05-28,2024-06-01,Standard King,4,24200,96800,Direct,completed
B00000199,G000152,R0029,A0002,2024-12-13,2024-12-21,2024-12-27,Ocean Suite,6,30400,182400,Direct,confirmed
B00000200,G000296,R0015,A0060,2024-02-07,2024-05-12,2024-05-15,Standard Double,3,12800,38400,Loyalty,completed
B00000201,G001259,R0004,A0058,2024-04-09,2024-06-07,2024-06-17,Standard King,10,20600,206000,Corporate,completed
B00000202,G002779,R0028,A0022,2025-02-15,2025-03-29,2025-03-31,Presidential,2,136500,273000,Direct,confirmed
B00000203,G000579,R0008,A0018,2025-03-01,2025-03-23,2025-04-04,Standard Double,12,13900,166800,Direct,completed
B00000204,G000735,R0001,A0001,2024-04-01,2024-07-01,2024-07-12,Standard Double,11,14800,162800,Travel Agent,confirmed
B00000205,G001845,R0018,A0034,2025-02-25,2025-03-28,2025-03-31,Standard Double,3,13000,39000,Direct,completed
B00000206,G000392,R0008,A0034,2025-09-25,2025-11-11,2025-11-25,Ocean Suite,14,39100,547400,Direct,confirmed
B00000207,G001944,R0010,A0044,2025-05-24,2025-06-16,2025-06-19,Ocean Suite,3,30500,91500,Travel Agent,completed
B00000208,G002202,R0004,A0060,2024-06-29,2024-07-20,2024-08-02,Standard King,13,19900,258700,Direct,completed
B00000209,G000452,R0021,A0015,2024-11-29,2024-12-29,2024-12-31,Standard King,2,19000,38000,Direct,cancelled
B00000210,G000730,R0040,A0030,2025-01-31,2025-03-20,2025-03-23,Standard Double,3,14200,42600,OTA,completed
B00000211,G001907,R0008,A0055,2025-04-14,2025-06-07,2025-06-10,Ocean Suite,3,33500,100500,Direct,completed
B00000212,G000887,R0034,A0032,2025-08-28,2025-10-28,2025-11-11,Standard Double,14,12800,179200,OTA,confirmed
B00000213,G002350,R0038,A0010,2024-01-06,2024-02-29,2024-03-01,Standard King,1,19500,19500,Corporate,completed
B00000214,G002288,R0016,A0006,2024-01-13,2024-04-11,2024-04-23,Standard Double,12,14300,171600,OTA,completed
B00000215,G000568,R0030,A0050,2025-12-21,2026-02-11,2026-02-14,Ocean Suite,3,36200,108600,OTA,completed
B00000216,G002357,R0040,A0035,2024-07-31,2024-11-09,2024-11-20,Standard King,11,23200,255200,Travel Agent,completed
B00000217,G000168,R0030,A0040,2025-01-09,2025-02-25,2025-02-28,Standard Double,3,18000,54000,OTA,confirmed
B00000218,G002377,R0031,A0048,2025-12-20,2026-01-16,2026-01-29,Ocean Suite,13,33600,436800,OTA,completed
B00000219,G001992,R0023,A0029,2025-05-28,2025-08-04,2025-08-18,Standard King,14,21600,302400,Travel Agent,completed
B00000220,G000329,R0030,A0006,2025-02-04,2025-05-30,2025-06-02,Standard King,3,23900,71700,Direct,completed
B00000221,G000093,R0034,A0041,2024-10-27,2024-12-20,2024-12-31,Standard Double,11,13700,150700,OTA,completed
B00000222,G002129,R0015,A0054,2025-10-22,2025-12-04,2025-12-11,Standard Double,7,17600,123200,Corporate,completed
B00000223,G001256,R0037,A0009,2024-06-24,2024-10-04,2024-10-09,Standard King,5,18600,93000,Direct,confirmed
B00000224,G000659,R0040,A0060,2025-12-29,2026-03-08,2026-03-13,Standard King,5,16800,84000,Travel Agent,cancelled
B00000225,G001297,R0008,A0003,2025-08-11,2025-08-28,2025-09-05,Standard King,8,16900,135200,OTA,completed
B00000226,G002186,R0035,A0011,2024-11-04,2024-11-20,2024-11-21,Standard Double,1,16400,16400,Direct,completed
B00000227,G001188,R0019,A0031,2025-08-10,2025-11-04,2025-11-07,Ocean Suite,3,42400,127200,Loyalty,completed
B00000228,G001262,R0036,A0008,2024-01-26,2024-03-18,2024-03-28,Ocean Suite,10,37500,375000,Direct,completed
B00000229,G000093,R0018,A0013,2024-03-26,2024-06-03,2024-06-17,Standard Double,14,17700,247800,Direct,completed
B00000230,G000606,R0024,A0026,2025-03-13,2025-04-30,2025-05-07,Standard Double,7,14800,103600,OTA,no_show
